OBJECTID,Codigo,Texto,Total,Anio,TipoEmpresa,cod,Shape__Area,Shape__Length,TipoHipoteca,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
2.0,2.0,Albacete,26884.0,2016,Total,2.0,24628869196.6688,982714.9831766171,Numero_hipotecas,247.0,252.0,261.0,374.0,353.0,309.0,190.0,208.0,263.0,198.0,199.0,292.0
3.0,3.0,Alicante,133124.0,2016,Total,3.0,9507175453.60967,698396.737290055,Importe_hipotecas,133189.0,161711.0,125561.0,131667.0,176577.0,119273.0,111577.0,101007.0,149818.0,129622.0,133759.0,120271.0
3.0,3.0,Alicante,133124.0,2016,Total,3.0,9507175453.60967,698396.737290055,Numero_hipotecas,1410.0,1446.0,1325.0,1443.0,1703.0,1646.0,1118.0,1105.0,1455.0,1377.0,1518.0,1321.0
4.0,4.0,Almería,41212.0,2016,Total,4.0,13855293063.9255,764383.039721032,Importe_hipotecas,47257.0,49952.0,55821.0,53065.0,61880.0,57270.0,49836.0,59935.0,74116.0,69916.0,91028.0,55519.0
4.0,4.0,Almería,41212.0,2016,Total,4.0,13855293063.9255,764383.039721032,Numero_hipotecas,601.0,555.0,638.0,505.0,550.0,602.0,412.0,419.0,678.0,674.0,783.0,481.0
5.0,5.0,Ávila,10080.0,2016,Total,5.0,13966290552.5479,825947.5261177691,Importe_hipotecas,4556.0,16093.0,5610.0,7279.0,8000.0,6869.0,7504.0,5365.0,6729.0,6223.0,8251.0,5265.0
5.0,5.0,Ávila,10080.0,2016,Total,5.0,13966290552.5479,825947.5261177691,Numero_hipotecas,82.0,102.0,74.0,85.0,86.0,68.0,82.0,64.0,89.0,74.0,92.0,62.0
6.0,6.0,Badajoz,40494.0,2016,Total,6.0,35803975339.5203,1452266.34287763,Importe_hipotecas,45261.0,44288.0,40596.0,39142.0,38841.0,44443.0,35441.0,46934.0,30842.0,29527.0,31349.0,31263.0
6.0,6.0,Badajoz,40494.0,2016,Total,6.0,35803975339.5203,1452266.34287763,Numero_hipotecas,446.0,442.0,491.0,484.0,430.0,458.0,294.0,529.0,365.0,361.0,458.0,416.0
7.0,7.0,"Balears, Illes",89341.0,2016,Total,7.0,8397658655.339479,1885856.05039272,Importe_hipotecas,247539.0,212765.0,149036.0,187545.0,217904.0,263290.0,245244.0,212718.0,194959.0,163761.0,198949.0,165636.0
7.0,7.0,"Balears, Illes",89341.0,2016,Total,7.0,8397658655.339479,1885856.05039272,Numero_hipotecas,1041.0,1041.0,910.0,1134.0,1332.0,1790.0,1006.0,1252.0,1331.0,945.0,1171.0,954.0
8.0,8.0,Barcelona,450451.0,2016,Total,8.0,13892170189.5469,1078129.1918187,Importe_hipotecas,559079.0,665280.0,582308.0,609564.0,612162.0,691992.0,629204.0,499143.0,1073864.0,507055.0,519746.0,523599.0
8.0,8.0,Barcelona,450451.0,2016,Total,8.0,13892170189.5469,1078129.1918187,Numero_hipotecas,3550.0,3626.0,3358.0,3744.0,3936.0,3663.0,3307.0,3054.0,4366.0,3215.0,3304.0,2987.0
9.0,9.0,Burgos,25583.0,2016,Total,9.0,26203492774.134,1530155.70044239,Importe_hipotecas,38356.0,24163.0,30635.0,44879.0,27449.0,24468.0,30836.0,29038.0,30923.0,34677.0,44078.0,16696.0
9.0,9.0,Burgos,25583.0,2016,Total,9.0,26203492774.134,1530155.70044239,Numero_hipotecas,595.0,273.0,234.0,251.0,284.0,314.0,274.0,237.0,275.0,214.0,228.0,184.0
10.0,10.0,Cáceres,24990.0,2016,Total,10.0,33620075321.1089,1242300.63638205,Importe_hipotecas,22903.0,20288.0,19620.0,17308.0,27422.0,16252.0,10850.0,14486.0,45780.0,16678.0,32206.0,15467.0
10.0,10.0,Cáceres,24990.0,2016,Total,10.0,33620075321.1089,1242300.63638205,Numero_hipotecas,204.0,213.0,193.0,190.0,215.0,188.0,148.0,169.0,230.0,220.0,215.0,155.0
11.0,11.0,Cádiz,58658.0,2016,Total,11.0,11546868058.7637,895286.367485857,Importe_hipotecas,73126.0,97865.0,81438.0,84115.0,95067.0,112183.0,90555.0,105183.0,83413.0,62958.0,93232.0,59191.0
11.0,11.0,Cádiz,58658.0,2016,Total,11.0,11546868058.7637,895286.367485857,Numero_hipotecas,940.0,1118.0,815.0,852.0,982.0,830.0,742.0,1018.0,762.0,711.0,852.0,1046.0
12.0,12.0,Castellón/Castelló,39228.0,2016,Total,12.0,11396498994.3888,689218.0799780571,Importe_hipotecas,35056.0,60728.0,32164.0,56218.0,30931.0,43615.0,24891.0,27217.0,34600.0,23624.0,32230.0,28458.0
12.0,12.0,Castellón/Castelló,39228.0,2016,Total,12.0,11396498994.3888,689218.0799780571,Numero_hipotecas,455.0,540.0,371.0,428.0,393.0,447.0,293.0,365.0,493.0,348.0,458.0,369.0
